source,target,haplotype_count,path_support_fraction,source_transition_agreement,consistency_score
n1,n104,36,1.0,1.0,1.0
n1,n12,36,1.0,1.0,1.0
n1,n144,36,1.0,1.0,1.0
n1,n150,36,1.0,1.0,1.0
n1,n158,36,1.0,1.0,1.0
n1,n17,36,1.0,1.0,1.0
n1,n19,36,1.0,1.0,1.0
n1,n2,36,1.0,1.0,1.0
n1,n21,36,1.0,1.0,1.0
n1,n22,36,1.0,1.0,1.0
n1,n227,36,1.0,1.0,1.0
n1,n25,36,1.0,1.0,1.0
n1,n27,36,1.0,1.0,1.0
n1,n340,36,1.0,1.0,1.0
n1,n369,36,1.0,1.0,1.0
n1,n4,36,1.0,1.0,1.0
n1,n400,36,1.0,1.0,1.0
n1,n408,36,1.0,1.0,1.0
n1,n409,36,1.0,1.0,1.0
n1,n41,36,1.0,1.0,1.0
n1,n411,36,1.0,1.0,1.0
n1,n412,36,1.0,1.0,1.0
n1,n414,36,1.0,1.0,1.0
n1,n43,36,1.0,1.0,1.0
n1,n49,36,1.0,1.0,1.0
n1,n5,36,1.0,1.0,1.0
n1,n53,36,1.0,1.0,1.0
n1,n57,36,1.0,1.0,1.0
n1,n60,36,1.0,1.0,1.0
n1,n78,36,1.0,1.0,1.0
n1,n8,36,1.0,1.0,1.0
n10,n541,36,1.0,1.0,1.0
n100,n5136,36,1.0,1.0,1.0
n1000,n20399,1,0.027777777777777776,1.0,0.5138888888888888
n10000,n29748,36,1.0,1.0,1.0
n10000,n63136,36,1.0,1.0,1.0
n10001,n20317,36,1.0,1.0,1.0
n10001,n27880,36,1.0,1.0,1.0
n10001,n31561,36,1.0,1.0,1.0
n10001,n31564,36,1.0,1.0,1.0
n10002,n29751,36,1.0,1.0,1.0
n10003,n45820,36,1.0,1.0,1.0
n10004,n44405,36,1.0,1.0,1.0
n10005,n20869,36,1.0,1.0,1.0
n10006,n65179,36,1.0,1.0,1.0
n10007,n20956,36,1.0,1.0,1.0
n10007,n28058,36,1.0,1.0,1.0
n10008,n65814,36,1.0,1.0,1.0
