node_id,haplotype_count,path_fraction,predecessor_consistency,successor_consistency,local_consistency,consistency_score,status
n1,36,1.0,0.2602739726027397,0.4657534246575342,1.0,0.6815068493150684,shared
n2,36,1.0,0.8095238095238095,0.14285714285714285,1.0,0.7380952380952381,shared
n3,36,1.0,1.0,1.0,1.0,1.0,shared
n4,36,1.0,0.25,0.25,1.0,0.625,shared
n5,36,1.0,0.5,0.5,1.0,0.75,shared
n6,36,1.0,0.6666666666666666,0.3333333333333333,1.0,0.75,shared
n7,36,1.0,0.5,0.5,1.0,0.75,shared
n8,36,1.0,0.3333333333333333,0.16666666666666666,1.0,0.625,shared
n9,36,1.0,1.0,1.0,1.0,1.0,shared
n10,36,1.0,1.0,1.0,1.0,1.0,shared
n11,36,1.0,1.0,1.0,1.0,1.0,shared
n12,36,1.0,1.0,0.5,1.0,0.875,shared
n13,36,1.0,1.0,0.3333333333333333,1.0,0.8333333333333334,shared
n14,36,1.0,1.0,1.0,1.0,1.0,shared
n15,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n16,36,1.0,1.0,1.0,1.0,1.0,shared
n17,36,1.0,0.5,0.125,1.0,0.65625,shared
n18,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n19,36,1.0,0.5,0.5,1.0,0.75,shared
n20,36,1.0,0.25,0.5,1.0,0.6875,shared
n21,36,1.0,0.5,0.5,1.0,0.75,shared
n22,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n23,36,1.0,1.0,1.0,1.0,1.0,shared
n24,36,1.0,0.5,0.5,1.0,0.75,shared
n25,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n26,36,1.0,1.0,1.0,1.0,1.0,shared
n27,36,1.0,1.0,0.5,1.0,0.875,shared
n28,36,1.0,1.0,1.0,1.0,1.0,shared
n29,36,1.0,1.0,1.0,1.0,1.0,shared
n30,36,1.0,1.0,1.0,1.0,1.0,shared
