source,target,haplotype_count,path_support_fraction,source_transition_agreement,consistency_score
n1,n13,14,1.0,1.0,1.0
n1,n2,14,1.0,1.0,1.0
n1,n4,14,1.0,1.0,1.0
n10,n817,13,0.9285714285714286,1.0,0.9642857142857143
n100,n314,14,1.0,1.0,1.0
n1000,n12,14,1.0,1.0,1.0
n10000,n9549,14,1.0,1.0,1.0
n10001,n9551,14,1.0,1.0,1.0
n10002,n9552,13,0.9285714285714286,1.0,0.9642857142857143
n10003,n9559,14,1.0,1.0,1.0
n10004,n6819,14,1.0,1.0,1.0
n10005,n2358,13,0.9285714285714286,1.0,0.9642857142857143
n10006,n9449,14,1.0,1.0,1.0
n10007,n2440,14,1.0,1.0,1.0
n10008,n2109,13,0.9285714285714286,1.0,0.9642857142857143
n10009,n2533,14,1.0,1.0,1.0
n1001,n3804,14,1.0,1.0,1.0
n10010,n9594,14,1.0,1.0,1.0
n10011,n2638,14,1.0,1.0,1.0
n10012,n8239,13,0.9285714285714286,1.0,0.9642857142857143
n10013,n8260,13,0.9285714285714286,1.0,0.9642857142857143
n10014,n11097,14,1.0,1.0,1.0
n10015,n11508,14,1.0,1.0,1.0
n10016,n8266,13,0.9285714285714286,1.0,0.9642857142857143
n10017,n2756,13,0.9285714285714286,1.0,0.9642857142857143
n10018,n10678,14,1.0,1.0,1.0
n10019,n10926,14,1.0,1.0,1.0
n1002,n381,14,1.0,1.0,1.0
n10020,n9455,13,0.9285714285714286,1.0,0.9642857142857143
n10021,n2914,14,1.0,1.0,1.0
n10022,n9623,14,1.0,1.0,1.0
n10023,n11532,14,1.0,1.0,1.0
n10024,n3151,13,0.9285714285714286,1.0,0.9642857142857143
n10025,n12149,14,1.0,1.0,1.0
n10026,n9633,14,1.0,1.0,1.0
n10027,n3410,14,1.0,1.0,1.0
n10028,n8491,14,1.0,1.0,1.0
n10029,n13582,13,0.9285714285714286,1.0,0.9642857142857143
n1003,n3812,13,0.9285714285714286,1.0,0.9642857142857143
n10030,n3525,14,1.0,1.0,1.0
n10031,n9651,14,1.0,1.0,1.0
n10032,n3609,14,1.0,1.0,1.0
n10033,n1202,14,1.0,1.0,1.0
n10033,n1205,14,1.0,1.0,1.0
n10033,n8466,13,0.9285714285714286,0.9285714285714286,0.9285714285714286
n10033,n8467,14,1.0,1.0,1.0
n10034,n9659,13,0.9285714285714286,1.0,0.9642857142857143
n10035,n9661,14,1.0,1.0,1.0
n10036,n14860,13,0.9285714285714286,1.0,0.9642857142857143
n10037,n7978,14,1.0,1.0,1.0
n10038,n3751,14,1.0,1.0,1.0
n10039,n9478,14,1.0,1.0,1.0
n1004,n14429,13,0.9285714285714286,1.0,0.9642857142857143
n10040,n9671,14,1.0,1.0,1.0
n10041,n644,13,0.9285714285714286,1.0,0.9642857142857143
n10042,n935,13,0.9285714285714286,1.0,0.9642857142857143
n10043,n8566,14,1.0,1.0,1.0
n10044,n4269,14,1.0,1.0,1.0
n10045,n14491,14,1.0,1.0,1.0
n10046,n2013,13,0.9285714285714286,1.0,0.9642857142857143
n10047,n9704,14,1.0,1.0,1.0
n10048,n9711,13,0.9285714285714286,1.0,0.9642857142857143
n10049,n8939,14,1.0,1.0,1.0
n1005,n14470,14,1.0,1.0,1.0
n10050,n4558,13,0.9285714285714286,1.0,0.9642857142857143
n10051,n4624,14,1.0,1.0,1.0
n10052,n9935,14,1.0,1.0,1.0
n10053,n10410,13,0.9285714285714286,1.0,0.9642857142857143
n10054,n13873,13,0.9285714285714286,1.0,0.9642857142857143
n10055,n4791,14,1.0,1.0,1.0
n10056,n3172,14,1.0,1.0,1.0
n10057,n8707,13,0.9285714285714286,1.0,0.9642857142857143
n10058,n4908,13,0.9285714285714286,1.0,0.9642857142857143
n10059,n13825,13,0.9285714285714286,1.0,0.9642857142857143
n1006,n8453,14,1.0,1.0,1.0
n10060,n8734,14,1.0,1.0,1.0
n10061,n9746,13,0.9285714285714286,1.0,0.9642857142857143
n10062,n4986,13,0.9285714285714286,1.0,0.9642857142857143
n10063,n6287,13,0.9285714285714286,1.0,0.9642857142857143
n10064,n5235,13,0.9285714285714286,1.0,0.9642857142857143
n10065,n9528,14,1.0,1.0,1.0
n10066,n5270,14,1.0,1.0,1.0
n10067,n5366,14,1.0,1.0,1.0
n10068,n4151,14,1.0,1.0,1.0
n10069,n5203,13,0.9285714285714286,1.0,0.9642857142857143
n1007,n12164,14,1.0,1.0,1.0
n10070,n4783,13,0.9285714285714286,1.0,0.9642857142857143
n10071,n3399,14,1.0,1.0,1.0
n10072,n9788,13,0.9285714285714286,1.0,0.9642857142857143
n10073,n5632,14,1.0,1.0,1.0
n10074,n8653,13,0.9285714285714286,1.0,0.9642857142857143
n10075,n9797,14,1.0,1.0,1.0
n10076,n7164,14,1.0,1.0,1.0
n10077,n9791,14,1.0,1.0,1.0
n10078,n9836,14,1.0,1.0,1.0
n10079,n5725,13,0.9285714285714286,1.0,0.9642857142857143
n1008,n12391,14,1.0,1.0,1.0
