source,target,haplotype_count,path_support_fraction,source_transition_agreement,consistency_score
n1,n13,4,1.0,1.0,1.0
n1,n2,4,1.0,1.0,1.0
n1,n4,4,1.0,1.0,1.0
n10,n817,3,0.75,1.0,0.875
n100,n314,4,1.0,1.0,1.0
n1000,n12,4,1.0,1.0,1.0
n10000,n2910,4,1.0,1.0,1.0
n10001,n9604,4,1.0,1.0,1.0
n10002,n11504,4,1.0,1.0,1.0
n10003,n3147,3,0.75,1.0,0.875
n10004,n12118,4,1.0,1.0,1.0
n10005,n9614,4,1.0,1.0,1.0
n10006,n3405,4,1.0,1.0,1.0
n10007,n8475,4,1.0,1.0,1.0
n10008,n13549,3,0.75,1.0,0.875
n10009,n3519,4,1.0,1.0,1.0
n1001,n3798,4,1.0,1.0,1.0
n10010,n9632,4,1.0,1.0,1.0
n10011,n3603,4,1.0,1.0,1.0
n10012,n1201,4,1.0,1.0,1.0
n10012,n1204,4,1.0,1.0,1.0
n10012,n8450,3,0.75,0.75,0.75
n10012,n8451,4,1.0,1.0,1.0
n10013,n9640,3,0.75,1.0,0.875
n10014,n9642,4,1.0,1.0,1.0
n10015,n14827,3,0.75,1.0,0.875
n10016,n7964,4,1.0,1.0,1.0
n10017,n3745,4,1.0,1.0,1.0
n10018,n9460,4,1.0,1.0,1.0
n10019,n9652,4,1.0,1.0,1.0
n1002,n381,4,1.0,1.0,1.0
n10020,n644,3,0.75,1.0,0.875
n10021,n935,3,0.75,1.0,0.875
n10022,n8550,4,1.0,1.0,1.0
n10023,n4263,4,1.0,1.0,1.0
n10024,n14458,4,1.0,1.0,1.0
n10025,n2010,3,0.75,1.0,0.875
n10026,n9685,4,1.0,1.0,1.0
n10027,n9692,3,0.75,1.0,0.875
n10028,n8921,4,1.0,1.0,1.0
n10029,n4551,3,0.75,1.0,0.875
n1003,n3806,3,0.75,1.0,0.875
n10030,n4617,4,1.0,1.0,1.0
n10031,n9914,4,1.0,1.0,1.0
n10032,n10387,3,0.75,1.0,0.875
n10033,n13840,3,0.75,1.0,0.875
n10034,n4784,4,1.0,1.0,1.0
n10035,n3168,4,1.0,1.0,1.0
n10036,n8690,3,0.75,1.0,0.875
n10037,n4901,3,0.75,1.0,0.875
n10038,n13792,3,0.75,1.0,0.875
n10039,n8716,4,1.0,1.0,1.0
n1004,n14396,3,0.75,1.0,0.875
n10040,n9726,3,0.75,1.0,0.875
n10041,n4979,3,0.75,1.0,0.875
n10042,n6276,3,0.75,1.0,0.875
n10043,n5228,3,0.75,1.0,0.875
n10044,n9509,4,1.0,1.0,1.0
n10045,n5263,4,1.0,1.0,1.0
n10046,n5359,4,1.0,1.0,1.0
n10047,n4145,4,1.0,1.0,1.0
n10048,n5196,3,0.75,1.0,0.875
n10049,n4776,3,0.75,1.0,0.875
n1005,n14437,4,1.0,1.0,1.0
n10050,n3394,4,1.0,1.0,1.0
n10051,n9767,3,0.75,1.0,0.875
n10052,n5624,4,1.0,1.0,1.0
n10053,n8636,3,0.75,1.0,0.875
n10054,n9776,4,1.0,1.0,1.0
n10055,n7152,4,1.0,1.0,1.0
n10056,n9770,4,1.0,1.0,1.0
n10057,n9815,4,1.0,1.0,1.0
n10058,n5717,3,0.75,1.0,0.875
n10059,n6908,3,0.75,1.0,0.875
n1006,n8437,4,1.0,1.0,1.0
