anchor_id,node_id,haplotype_count,U,D,C,alpha,beta,gamma,final_score,selected
a1,n1,4,0.0,0.34782608695652173,0.875,0.4,0.3,0.3,0.36684782608695654,False
a2,n2,4,0.0,0.17391304347826086,0.875,0.4,0.3,0.3,0.31467391304347825,False
a3,n3,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a4,n4,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a5,n5,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a6,n6,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a7,n7,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a8,n8,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a9,n9,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a10,n10,4,0.0,0.2608695652173913,0.6666666666666666,0.4,0.3,0.3,0.27826086956521734,False
a11,n11,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a12,n12,3,0.25,0.06521739130434782,0.9375,0.4,0.3,0.3,0.4008152173913043,False
a13,n13,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a14,n14,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a15,n15,4,0.0,0.17391304347826086,0.75,0.4,0.3,0.3,0.2771739130434782,False
a16,n16,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a17,n17,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a18,n18,3,0.25,0.06521739130434782,0.9375,0.4,0.3,0.3,0.4008152173913043,False
a19,n19,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a20,n20,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a21,n21,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a22,n22,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a23,n23,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a24,n24,4,0.0,0.15217391304347827,0.8928571428571428,0.4,0.3,0.3,0.31350931677018634,False
a25,n25,3,0.25,0.06521739130434782,0.9375,0.4,0.3,0.3,0.4008152173913043,False
a26,n26,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a27,n27,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a28,n28,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a29,n29,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a30,n30,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a31,n31,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a32,n32,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a33,n33,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a34,n34,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a35,n35,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a36,n36,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a37,n37,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a38,n38,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a39,n39,3,0.25,0.06521739130434782,0.9375,0.4,0.3,0.3,0.4008152173913043,False
a40,n40,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
a41,n41,4,0.0,0.08695652173913043,1.0,0.4,0.3,0.3,0.32608695652173914,False
