node_id,haplotype_count,path_fraction,predecessor_consistency,successor_consistency,local_consistency,consistency_score,status
n1,124,1.0,0.30757293606455616,0.5384854127870887,1.0,0.7115145872129112,shared
n2,124,1.0,0.8749369641956631,0.12506303580433686,1.0,0.75,shared
n3,124,1.0,1.0,1.0,1.0,1.0,shared
n4,124,1.0,0.5,0.5,1.0,0.75,shared
n5,124,1.0,1.0,1.0,1.0,1.0,shared
n6,124,1.0,0.6666666666666666,0.3333333333333333,1.0,0.75,shared
n7,124,1.0,1.0,1.0,1.0,1.0,shared
n8,124,1.0,1.0,1.0,1.0,1.0,shared
n9,124,1.0,1.0,1.0,1.0,1.0,shared
n10,123,0.9919354838709677,1.0,1.0,1.0,0.997983870967742,shared
n11,124,1.0,0.5,0.5,1.0,0.75,shared
n12,124,1.0,1.0,1.0,1.0,1.0,shared
n13,124,1.0,0.5020242914979757,0.5020242914979757,1.0,0.7510121457489878,shared
n14,124,1.0,1.0,1.0,1.0,1.0,shared
n15,124,1.0,1.0,1.0,1.0,1.0,shared
n16,124,1.0,0.28604382929642447,0.4290657439446367,1.0,0.6787773933102653,shared
n17,124,1.0,1.0,1.0,1.0,1.0,shared
n18,124,1.0,1.0,1.0,1.0,1.0,shared
n19,124,1.0,1.0,1.0,1.0,1.0,shared
n20,124,1.0,0.5020242914979757,0.5020242914979757,1.0,0.7510121457489878,shared
n21,124,1.0,1.0,1.0,1.0,1.0,shared
n22,124,1.0,0.5020242914979757,0.5020242914979757,1.0,0.7510121457489878,shared
n23,124,1.0,1.0,1.0,1.0,1.0,shared
n24,124,1.0,0.5,0.5,1.0,0.75,shared
n25,124,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n26,124,1.0,1.0,1.0,1.0,1.0,shared
n27,124,1.0,1.0,1.0,1.0,1.0,shared
n28,124,1.0,1.0,1.0,1.0,1.0,shared
n29,124,1.0,1.0,1.0,1.0,1.0,shared
n30,124,1.0,1.0,1.0,1.0,1.0,shared
n31,124,1.0,1.0,1.0,1.0,1.0,shared
n32,124,1.0,1.0,1.0,1.0,1.0,shared
n33,124,1.0,1.0,1.0,1.0,1.0,shared
n34,124,1.0,1.0,1.0,1.0,1.0,shared
n35,124,1.0,1.0,1.0,1.0,1.0,shared
n36,124,1.0,1.0,1.0,1.0,1.0,shared
n37,124,1.0,1.0,1.0,1.0,1.0,shared
n38,124,1.0,1.0,1.0,1.0,1.0,shared
n39,123,0.9919354838709677,1.0,1.0,1.0,0.997983870967742,shared
n40,124,1.0,1.0,1.0,1.0,1.0,shared
n41,123,0.9919354838709677,1.0,1.0,1.0,0.997983870967742,shared
n42,124,1.0,1.0,1.0,1.0,1.0,shared
n43,124,1.0,1.0,1.0,1.0,1.0,shared
n44,124,1.0,1.0,1.0,1.0,1.0,shared
n45,123,0.9919354838709677,1.0,1.0,1.0,0.997983870967742,shared
n46,124,1.0,1.0,1.0,1.0,1.0,shared
n47,124,1.0,0.5,0.5,1.0,0.75,shared
n48,124,1.0,1.0,1.0,1.0,1.0,shared
n49,124,1.0,0.5,0.5,1.0,0.75,shared
