anchor_id,node_id,haplotype_count,U,D,C,alpha,beta,gamma,final_score,selected
a1,n1,36,0.0,1.0,0.6815068493150684,0.35,0.35,0.3,0.5544520547945205,False
a2,n2,36,0.0,0.5753424657534246,0.7380952380952381,0.35,0.35,0.3,0.42279843444227005,False
a3,n3,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a4,n4,36,0.0,0.0547945205479452,0.625,0.35,0.35,0.3,0.20667808219178083,False
a5,n5,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a6,n6,36,0.0,0.0410958904109589,0.75,0.35,0.35,0.3,0.2393835616438356,False
a7,n7,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a8,n8,36,0.0,0.0821917808219178,0.625,0.35,0.35,0.3,0.21626712328767123,False
a9,n9,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a10,n10,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a11,n11,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a12,n12,36,0.0,0.0273972602739726,0.875,0.35,0.35,0.3,0.27208904109589044,False
a13,n13,36,0.0,0.0410958904109589,0.8333333333333334,0.35,0.35,0.3,0.26438356164383564,False
a14,n14,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a15,n15,36,0.0,0.0410958904109589,0.6666666666666666,0.35,0.35,0.3,0.2143835616438356,False
a16,n16,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a17,n17,36,0.0,0.1095890410958904,0.65625,0.35,0.35,0.3,0.23523116438356162,False
a18,n18,36,0.0,0.0410958904109589,0.6666666666666666,0.35,0.35,0.3,0.2143835616438356,False
a19,n19,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a20,n20,36,0.0,0.0547945205479452,0.6875,0.35,0.35,0.3,0.22542808219178082,False
a21,n21,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a22,n22,36,0.0,0.0410958904109589,0.6666666666666666,0.35,0.35,0.3,0.2143835616438356,False
a23,n23,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a24,n24,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a25,n25,36,0.0,0.0410958904109589,0.6666666666666666,0.35,0.35,0.3,0.2143835616438356,False
a26,n26,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a27,n27,36,0.0,0.0273972602739726,0.875,0.35,0.35,0.3,0.27208904109589044,False
a28,n28,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a29,n29,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a30,n30,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a31,n31,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a32,n32,36,0.0,0.273972602739726,0.65,0.35,0.35,0.3,0.2908904109589041,False
a33,n33,36,0.0,0.0547945205479452,0.625,0.35,0.35,0.3,0.20667808219178083,False
a34,n34,36,0.0,0.0821917808219178,0.5833333333333334,0.35,0.35,0.3,0.20376712328767124,False
a35,n35,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a36,n36,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a37,n37,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a38,n38,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a39,n39,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a40,n40,36,0.0,0.0547945205479452,0.625,0.35,0.35,0.3,0.20667808219178083,False
a41,n41,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a42,n42,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a43,n43,36,0.0,0.0410958904109589,0.75,0.35,0.35,0.3,0.2393835616438356,False
a44,n44,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a45,n45,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a46,n46,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a47,n47,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a48,n48,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a49,n49,36,0.0,0.0410958904109589,0.6666666666666666,0.35,0.35,0.3,0.2143835616438356,False
a50,n50,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a51,n51,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a52,n52,36,0.0,0.0684931506849315,0.6499999999999999,0.35,0.35,0.3,0.21897260273972602,False
a53,n53,36,0.0,0.136986301369863,0.75,0.35,0.35,0.3,0.272945205479452,False
a54,n54,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a55,n55,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a56,n56,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a57,n57,36,0.0,0.0547945205479452,0.625,0.35,0.35,0.3,0.20667808219178083,False
a58,n58,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a59,n59,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a60,n60,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a61,n61,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a62,n62,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a63,n63,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a64,n64,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a65,n65,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a66,n66,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a67,n67,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a68,n68,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a69,n69,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a70,n70,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a71,n71,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a72,n72,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a73,n73,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a74,n74,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a75,n75,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a76,n76,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a77,n77,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a78,n78,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a79,n79,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a80,n80,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a81,n81,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a82,n82,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a83,n83,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a84,n84,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a85,n85,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a86,n86,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a87,n87,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a88,n88,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a89,n89,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a90,n90,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a91,n91,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a92,n92,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a93,n93,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a94,n94,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a95,n95,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a96,n96,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a97,n97,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a98,n98,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a99,n99,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a100,n100,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a101,n101,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a102,n102,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a103,n103,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a104,n104,36,0.0,0.0410958904109589,0.6666666666666666,0.35,0.35,0.3,0.2143835616438356,False
a105,n105,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a106,n106,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a107,n107,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a108,n108,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a109,n109,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a110,n110,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a111,n111,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a112,n112,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a113,n113,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a114,n114,36,0.0,0.0273972602739726,0.75,0.35,0.35,0.3,0.23458904109589038,False
a115,n115,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a116,n116,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
a117,n117,36,0.0,0.0136986301369863,1.0,0.35,0.35,0.3,0.3047945205479452,False
