node_id,haplotype_count,path_fraction,predecessor_consistency,successor_consistency,local_consistency,consistency_score,status
n1,4,1.0,1.0,0.5,1.0,0.875,shared
n2,4,1.0,1.0,0.5,1.0,0.875,shared
n3,4,1.0,1.0,1.0,1.0,1.0,shared
n4,4,1.0,1.0,1.0,1.0,1.0,shared
n5,4,1.0,1.0,1.0,1.0,1.0,shared
n6,4,1.0,1.0,1.0,1.0,1.0,shared
n7,4,1.0,1.0,1.0,1.0,1.0,shared
n8,4,1.0,1.0,1.0,1.0,1.0,shared
n9,4,1.0,1.0,1.0,1.0,1.0,shared
n10,4,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n11,4,1.0,1.0,1.0,1.0,1.0,shared
n12,3,0.75,1.0,1.0,1.0,0.9375,shared
n13,4,1.0,1.0,1.0,1.0,1.0,shared
n14,4,1.0,1.0,1.0,1.0,1.0,shared
n15,4,1.0,0.5,0.5,1.0,0.75,shared
n16,4,1.0,1.0,1.0,1.0,1.0,shared
n17,4,1.0,1.0,1.0,1.0,1.0,shared
n18,3,0.75,1.0,1.0,1.0,0.9375,shared
n19,4,1.0,1.0,1.0,1.0,1.0,shared
n20,4,1.0,1.0,1.0,1.0,1.0,shared
n21,4,1.0,1.0,1.0,1.0,1.0,shared
n22,4,1.0,1.0,1.0,1.0,1.0,shared
n23,4,1.0,1.0,1.0,1.0,1.0,shared
n24,4,1.0,0.5714285714285714,1.0,1.0,0.8928571428571428,shared
n25,3,0.75,1.0,1.0,1.0,0.9375,shared
n26,4,1.0,1.0,1.0,1.0,1.0,shared
n27,4,1.0,1.0,1.0,1.0,1.0,shared
n28,4,1.0,1.0,1.0,1.0,1.0,shared
n29,4,1.0,1.0,1.0,1.0,1.0,shared
n30,4,1.0,1.0,1.0,1.0,1.0,shared
n31,4,1.0,1.0,1.0,1.0,1.0,shared
n32,4,1.0,1.0,1.0,1.0,1.0,shared
n33,4,1.0,1.0,1.0,1.0,1.0,shared
n34,4,1.0,1.0,1.0,1.0,1.0,shared
n35,4,1.0,1.0,1.0,1.0,1.0,shared
n36,4,1.0,1.0,1.0,1.0,1.0,shared
n37,4,1.0,1.0,1.0,1.0,1.0,shared
n38,4,1.0,1.0,1.0,1.0,1.0,shared
n39,3,0.75,1.0,1.0,1.0,0.9375,shared
n40,4,1.0,1.0,1.0,1.0,1.0,shared
n41,4,1.0,1.0,1.0,1.0,1.0,shared
n42,3,0.75,1.0,1.0,1.0,0.9375,shared
n43,3,0.75,1.0,1.0,1.0,0.9375,shared
n44,4,1.0,1.0,1.0,1.0,1.0,shared
n45,4,1.0,1.0,1.0,1.0,1.0,shared
n46,3,0.75,1.0,1.0,1.0,0.9375,shared
n47,4,1.0,1.0,1.0,1.0,1.0,shared
n48,4,1.0,1.0,1.0,1.0,1.0,shared
n49,4,1.0,1.0,1.0,1.0,1.0,shared
n50,3,0.75,1.0,1.0,1.0,0.9375,shared
